year,sid,state,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,unemployrt,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,poverty,r20001,r20002,r20003,r20004,r20011,r20012,r20013,r20014,r20021,r20022,r20023,r20024,r20031,r20032,r20033,r20034,r20041,r20042,r20043,r20044,r20051,r20052,r20053,r20054,r20061,r20062,r20063,r20064,r20071,r20072,r20073,r20074,r20081,r20082,r20083,r20084,r20091,r20092,r20093,r20094,r20101,r20102,r20103,r20104,trend_1,trend_2,trend_3,trend_4,trend_5,trend_6,trend_7,trend_8,trend_9,trend_10,trend_11,trend_12,trend_13,trend_14,trend_15,trend_16,trend_17,trend_18,trend_19,trend_20,trend_21,trend_22,trend_23,trend_24,trend_25,trend_26,trend_27,trend_28,trend_29,trend_30,trend_31,trend_32,trend_33,trend_34,trend_35,trend_36,trend_37,trend_38,trend_39,trend_40,trend_41,trend_42,trend_43,trend_44,trend_45,trend_46,trend_47,trend_48,trend_49,trend_50,trend_51,l_homicide,l_larceny,l_motor,l_police,l_income,l_prisoner,l_lagprisoner,l_exp_subsidy,l_exp_pubwelfare,post,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lag0,lag1,lag2,lag3,lag4,lag5,popwt
2010,1,,0.21403067,0,0,5.7427597,100.15121,245.55031,884.21674,2428.7456,222.97894,4.606829,10,2.1828167,4.515513,3.177408,8.610017,16.97416726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7479398,7.7951303,5.4070773,5.831543,10.620742,6.504557,6.530851,4.736799,7.1459756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4499293
2000,2,,0.3653061,0,2,4.443837,80.647415,418.04987,641.723,2771.3086,386.77844,3.9500775,6.2,0.3306544,4.9629436,0.68336344,12.253634,8.631248735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4915183,7.927075,5.957852,5.683415,11.111104,6.532072,6.457475,5.8740125,7.5531344,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,651473.25
2001,2,,0.36770427,1,1,6.335993,83.505135,435.5589,624.98883,2712.2922,425.32382,5.523686,6.2,0.3614765,5.2216706,0.6792509,11.714113,8.830911847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8462465,7.9055495,6.0528507,5.689826,11.165422,6.6101723,6.532072,5.7135344,7.6233864,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,651473.25
2002,2,,0.38445807,0,3,5.286327,78.33375,415.53732,626.02924,2841.6409,395.83374,5.4465184,7.1,0.3926299,5.3866067,0.6803342,11.237449,9.440418293,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6651237,7.952137,5.980994,5.6953335,11.066013,6.5575213,6.6101723,5.7251234,7.7115536,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,651473.25
2003,2,,0.3026906,0,2,6.192127,70.81253,442.49896,615.08466,2866.0024,390.7391,6.192127,7.7,0.38581717,5.5305223,0.6619226,10.820187,10.02267271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8232787,7.9606733,5.96804,5.6619034,11.026011,6.577532,6.5575213,5.6369133,7.8120546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,651473.25
2004,2,,0.33333334,3,2,5.8179483,70.28711,490.12286,593.2735,2540.871,352.22174,5.6607065,7.4,0.434302,5.875342,0.67016476,10.628763,10.16725816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7609477,7.8402624,5.864261,5.6975317,11.059724,6.573791,6.577532,5.9268365,7.8902493,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651473.25
2005,2,,0.30912477,0,1,4.9865675,83.68083,481.0479,643.7347,2687.9158,404.37946,4.9865675,6.9,0.4592317,6.0356164,0.6717841,10.469922,10.76677824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6067477,7.8965216,6.0023537,5.657445,11.041673,6.61988,6.573791,5.829506,7.8173127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,651473.25
2006,2,,0.30717862,2,1,5.3727093,89.39591,516.07855,615.17523,2588.452,378.32828,5.2234674,6.7,0.43593568,5.839986,0.6535304,10.003836,10.61408575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6813323,7.858815,5.9357624,5.666709,11.018793,6.628712,6.61988,5.7342114,7.7931113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,651473.25
2007,2,,0.29776248,1,2,6.5013933,85.847946,496.6178,544.19617,2504.514,358.61096,6.3536344,6.2,0.4484484,5.7454586,0.68116874,9.999438,9.643634988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8720165,7.82585,5.882238,5.6311,11.101055,6.6378746,6.628712,5.6488996,7.7396045,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,651473.25
2008,2,,0.25931677,0,2,3.96339,94.534195,493.66223,474.43246,2236.3796,239.27132,3.96339,6.9,0.47957018,5.7294474,0.72706187,10.065396,9.082181626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3770998,7.7126136,5.477598,5.663492,11.07903,6.601252,6.6378746,5.586586,7.694469,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,651473.25
2009,2,,0.2584098,4,2,3.220414,95.73412,473.54724,526.9768,2232.4788,246.94719,3.220414,8.3,0.4144087,5.3245153,0.67848265,9.992359,9.068246426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1695099,7.710868,5.5091743,5.6678033,11.044856,6.6510954,6.601252,5.625318,7.764343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,651473.25
2010,2,,0.26430976,2,5,4.4278564,84.843445,482.63638,443.49985,2218.9275,231.24838,4.4278564,8.1,0.3390881,4.92092,0.62575614,10.142649,8.899277688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4879156,7.704779,5.4434924,5.6264315,10.971606,6.6839147,6.6510954,5.687119,7.851979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,651473.25
2000,3,,0.4152452,7,18,7.1502805,149.45879,355.34305,1033.7434,3519.4717,860.5034,7.2299495,4,0.26902184,4.0020657,0.56620663,9.467231,12.88169851,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9671516,8.166066,6.757518,5.883233,10.827151,6.2691064,6.2986364,4.959045,6.641533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5802964.5
2001,3,,0.46053225,19,25,7.6960464,170.62134,344.18643,1054.7623,3595.0156,1004.3917,7.657566,4.7,0.2697849,3.9276001,0.56179214,9.127241,13.52855252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0407066,8.187304,6.9121375,5.8773594,10.870319,6.278791,6.2691064,4.998365,6.637799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5802964.5
2002,3,,0.46525,17,22,7.238223,149.62735,377.3602,1105.1289,3769.5059,1078.5887,7.182113,6.1,0.27604377,3.867437,0.5601113,8.876718,13.95546267,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9793757,8.234699,6.983409,5.8588862,10.782201,6.3083057,6.278791,4.308614,6.8094916,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5802964.5
2003,3,,0.477228,4,17,8.060915,139.26556,342.21417,1071.3705,3632.4385,1041.8322,8.042636,5.7,0.2804321,3.8021562,0.5556913,8.64715,14.3123281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.087027,8.1976595,6.948736,5.8425155,10.7955265,6.3451934,6.3083057,4.274641,6.8782816,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5802964.5
2004,3,,0.498122,11,26,7.3482466,137.04303,335.83618,1009.67395,3177.3535,981.64764,7.2949986,4.9,0.29112548,3.7395122,0.5569581,8.480853,15.15064705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9944618,8.063804,6.8892326,5.8624873,10.831924,6.3580527,6.3451934,4.488383,6.9608974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5802964.5
2005,3,,0.51241404,8,18,7.633144,147.15672,333.59412,966.20166,3020.8726,941.7927,7.290081,4.6,0.29832727,3.6536171,0.56363475,8.317211,14.35274628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0324998,8.013301,6.847785,5.865528,10.830362,6.3556647,6.3580527,4.4629984,7.0762053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5802964.5
2006,3,,0.49466568,13,24,8.530212,153.5276,344.3546,953.04846,2874.1462,914.4031,8.513995,4.1,0.30230358,3.4848673,0.56795645,7.9827056,13.95249158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1436143,7.963511,6.8182716,5.8510466,10.828817,6.366583,6.3556647,4.393243,7.073736,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5802964.5
2007,3,,0.48575234,17,16,8.923674,158.57806,325.4784,963.7242,2864.8242,810.55884,8.61484,3.8,0.3223738,3.5236807,0.5957893,7.9911575,14.24081727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1887076,7.9602623,6.697724,5.885931,10.812734,6.419244,6.366583,4.408878,7.122257,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5802964.5
2008,3,,0.5132725,19,22,7.156422,153.80003,297.44867,916.227,2669.4087,602.3217,7.09337,5.1,0.32791862,3.4180114,0.6053009,7.7197146,14.74234042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9680102,7.889612,6.4007916,5.889329,10.768632,6.4362197,6.419244,4.3920665,7.1432114,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5802964.5
2009,3,,0.453226,17,14,6.0080333,129.63123,273.04932,858.6428,2466.0764,417.9852,5.9764123,8.6,0.3424579,3.3934796,0.6274442,7.684354,16.84981419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7930975,7.810384,6.035446,5.892255,10.747079,6.4651146,6.4362197,4.522347,7.2508726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5802964.5
2010,3,,0.43837392,17,20,6.4452577,109.317245,261.18265,800.0787,2420.7378,338.93546,6.382223,9.5,0.39063933,4.773304,0.6585509,9.334908,15.93302353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8633447,7.7918277,5.8258095,5.854319,10.763822,6.449509,6.4651146,4.5311193,7.2804503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5802964.5
2000,4,Arkansas,0.47876063,0,2,6.462801,76.97658,341.87448,824.89197,2682.8318,266.66748,6.462801,4.2,1.4365499,5.412327,2.0820606,11.242081,15.19373785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8660628,7.894628,5.5860023,5.64795,10.5347595,6.127652,6.103467,4.403213,6.8751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2732902.5
2001,4,Arkansas,0.50939935,0,0,5.6528745,83.30351,342.57184,847.7784,2657.9968,279.5881,5.385509,4.7,1.452254,5.400214,2.050695,11.032692,16.00557954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7321641,7.885328,5.6333175,5.662664,10.622741,6.1759276,6.127652,4.6157184,6.9486294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2732902.5
